key,en,es,notes
Level1/Case/Name,The Loretta,La Loretta,
Level1/Case/Type,Canaller,Canalero ,If canaller is another word for barge then yes. canaller seems to be a more midwesternie word
Level1/Case/Cause,Got stuck on a sandbar.,Atrapado en un banco de arena,
Level2/Unnamed,Port Washington Shipwreck,Naufragio de Port Washington,
Level2/Named,SS Madison,SS Madison,
Level2/Case/Name,SS Madison,SS Madison,
Level2/Case/Type,Freighter,Carguero,"Or, buque de carga"
Level2/Case/Cause,Collided with another ship.,Estrelló con otra nave,
Level3/Unnamed,Sheboygan Shipwreck,Naufragio de Sheboygan,
Level3/Named,The Paradise,El Paraíso ,
Level3/Case/Name,PS Paradise,PS Paraíso ,Same as ^
Level3/Case/Type,Sidewheel Steamer,Vaporera de rueda lateral,"Steam boat, but if I try translating the whole thing its going to be significantly longer"
Level3/Case/Cause,Fire in the boiler room.,Incendio en el cuarto de calderas,
Level4/Unnamed,The Emerald (Grandpa's Ship),La Esmeralda (nave de abuelo),
Level4/Named,The Emerald (Grandpa's Ship),La Esmeralda (nave de abuelo),
Level4/Case/Name,The Emerald,La Esmeralda ,
Level4/Case/Type,Freighter,Carguero,
Level4/Case/Cause,Flimsy steel broke in the waves.,Acero débil se destruyó en las olas ,
,,,
Evidence/Label/Location,Location,Ubicación ,
Evidence/Label/ShipType,Ship Type,Tipo de nave,
Evidence/Label/Name,Name,Nombre,
Evidence/Label/Cause,Cause of Wreck,Causa del naufragio,
Evidence/Label/Cargo,Cargo,Carga,
Evidence/Label/Artifact,Artifact,Artefacto ,
,,,
Dive/Level1/Above-Name,Top-Down Photo,Foto de arriba abajo,
Dive/Level1/Name-Name,Ship Name,Nombre de nave,
Dive/Level1/Artifact-Name,Lost Artifact,Artefacto perdido,
Dive/Level2/Above-Name,Top-Down Photo,Foto de arriba abajo,
Dive/Level2/Cargo-Name,Ship Cargo,Carga de la nave,
Dive/Level2/Gash-Name,Ship Damage,Daño al nave,
Dive/Level2/Safe-Name,Lost Artifact,Artefacto perdido,
Dive/Level3/Above-Name,Top-Down Photo,Foto de arriba abajo,
Dive/Level3/Cargo-Name,Ship Cargo,Carga de la nave,
Dive/Level3/Gold-Name,Lost Artifact,Artefacto perdido,
Dive/Level3/Anchor-Name,Anchor,Ancla,
Dive/Level4/Above-Name,Top-Down Photo,Foto de arriba abajo,
Dive/Level4/Cargo-Name,Ore,Mineral,
Dive/Level4/Artifact-Name,Lost Artifact,Artefacto perdido,
Dive/Level4/Name-Name,Ship Name,Nombre de nave,
Dive/Level4/Cause-Name,Split in Half,Partido en mitad,
,,,
Credits/Headline1,O.K. Steel Knew About Weak Ship,O.K. Steel supo de la debilidad de la nave,
Credits/Headline2,Descendent of the Emerald Warns Ship Owners,Descendiente de la Esmeralda avisa los dueños de la nave ,
Credits/Headline3,Shipwreck Hunter Teaches Diving Lessons for Girls,Cazadora de naufragios les enseña buceo a niñas ,
Credits/Headline4,Museum Honors Shipwreck Survivors,El Museo rinde homenaje a los sobrevivientes de un naufragio,"Can also be ""Museo honora náufragos"" for simplicity of UI"
Credits/Subline1,The truth behind the legend of the lost Emerald!,¡La verdad detrás de la leyenda de la Esmeralda perdida!,
Credits/Subline2,Daniel Griffin is working to keep people safe on the lakes.,Daniel Griffin trabaja para mantener la seguridad de las personas en los lagos.,
Credits/Subline3,Dive into the lakes with Reya and Jules Griffin!,¡Sumérgete hacía los lagos con Reya y Jules Griffin!,
Credits/Subline4,See the captain’s locket and first mate’s journal in memorial exhibit!,¡Vea el relicario del capitán y el diario del primer oficial en la exposición conmemorativa!,
,,,
,Two Rivers Gazette,Two Rivers Gazette,LV1-Article-Sinking. because its a location kept in English
,The Sinking of the Loretta,El hundiemiento de la Loretta,
,"The fires raging across Wisconsin have caused a shipwreck! Yesterday, smoke blew out over the lake. The captain of the Loretta got lost in the smoke and hit a sandbar! ","¡Los incendios que asolaban Wisconsin han provocado un naufragio! Ayer, el humo se extendió sobre el lago. ¡El capitán del Loretta se perdió entre el humo y chocó contra un banco de arena!  ",
,"The captain’s trunk and the cargo, 10,000 bushels of corn, was lost. The sailors were rescued by a boat heading south with an urgent note from Peshtigo… (cont. p c5)","El baúl del capitán y la carga, 10.000 fanegas de maíz, se perdieron. Los marineros fueron rescatados por un barco que se dirigía al sur con una nota urgente de Peshtigo... (cont. p c5)",Look up format
,Ship Types,Tipos de naves,LVx-Card-Types
,Canaller,Canalero ,
,Tug,Remolcador,"would put ""Barco remolcador"" for tug boat"
,Freighter,Carguero,
,Steamer,Barco de vapor,
,List of Shipwrecks,Lista de naufragios ,LV1-Table-Wrecks
,Ship Name,Nombre de nave,
,Timberland,Timberland,
,Loretta,Loretta,
,Hudson,Hudson,
,Lakeland,Lakeland,
,Ship Type,Tipo de nave,
,Canaller,Canalero ,
,Steamer,Barco de vapor,
,Freighter,Carguero,
,Cargo,Carga,
,Wheat,Trigo,
,Corn,Maíz ,
,Salt,Sal,
,Limestone,Caliza,
,<b>Lou:</b> I'll send you the latitude and longitude.,<b>Lou:</b> Te mandaré la latitud y la longitud.,LV1-Transcript-Lou
,"<b>Lou:</b> Location:
44° 11.524' N 087° 30.591' W",<b>Lou:</b> Ubicación: 44° 11.524' N 087° 30.591' W,
,"<b>You:</b> Thanks, Lou! Stay safe out there!","<b>Tú:</b> ¡Gracias, Lou! ¡Vuela con cuidado!",
,Distress Call: SS Madison,Llamada de auxillio: SS Madison,LV2-Distress-Transcript
,"Mayday! This is Captain Thomas of the SS Madison. We were rammed by the SS Lookout! I signaled by horn, but she came out of nowhere in all this fog. We're taking on water fast—[static]","¡Mayday! Este es el Capitán Tomás del SS Madison. ¡Fuimos golpeados por el SS Lookout! Soné la trompeta, pero ella salió de la nada en esta neblina! Estamos tragando agua rápidamente—[interferencia] ",
,Nash Sedan,Nash Sedan,LV2-Images-Car
,Kissel Speedster,Kissel Speedster,
,Ship Manifest,Lista de embarque,LV2-List-Cargo
,Captain's Safe (contents unknown),Caja fuerte del capitán (contenidos desconocidos),
,Freighters Carrying Cars,Cargueros con coches,LV2-Table-Wrecks
,Ship Name,Nombre de nave,
,SS Madison,SS Madison,
,SS Governer,SS Governer,
,Ship Type,Tipo de nave,
,Freighter,Carguero,
,Date Sank,Fecha del hundimiento,
,"Oct. 31st, 1929","31 de octubre, 1929",
,"Nov. 5th, 1925","5 de noviembre, 1925",
,Cargo,Carga,
,Cars: 258 Nash Sedans,Coches: 258 Nash Sedans,
,Cars: 150 Kissel Speedsters,Coches: 150 Kissel Speedsters,
,<b>Reya:</b> It's near Port Washington.,<b>Reya:</b> Está cerca de Port Washington.,LV2-Transcript-Reya
,"Location:\n43°20'08.2""N 87°34'11.3""W\nRace ya there!","Ubicación:\n43°20'08.2""N 87°34'11.3""W\n¡Te écho carreras ahi!",
,Survivor Accounts,Reportes de los sobrivivientes,LV3-Accounts-Survivor
,"We were sailing past Sheboygan when a fire broke out in the boiler room. By the time we saw the smoke, it was too late.","Navegabamos por Sheboygan cuando se brotó un incendio en el cuarto de calderas. Cuando vimos el humo, ya era demasiado tarde. ",
,There weren't enough lifeboats. Everyone panicked! I was lucky to escape.,No habían suficientes botes salvavidas. ¡Todos entramos en pánico! Tuve suerte de escaparme. ,
,I was helping to lower one of the lifeboats. Then a man jumped in with a bunch of heavy gold bars! The boat broke loose and plunged into the lake.,Yo ayudaba a bajar uno de los botes salvavidas. ¡Luego saltó adentro un hombre con un montón de lingotes de oro! El bote se soltó y se se sumergió en el lago.,
,Ship Chart,Gráfica de naves,LV3-Ship-Chart
,Ship Name,Nombre de nave,
,PS Paradise,PS Paraíso ,Or: PS Paraíso 
,Date Sank,Fecha de accidente,
,"Sept. 4, 1856","4 de septiembre, 1856",
,Ship Type,Tipo de nave,
,Sidewheel Steamer,Barco de vapor,
,Hull Material,Material del Casco,
,Wood,Madera,
,Cargo,Carga,
,???,???,
,<b>Dad:</b> My fishing buddy pulled this up on Lake Michigan.,<b>Papá:</b> Mi amigo de pesca sacó esto en el Lago Michigan. ,LV3-Transcript-Dad
,"Location:\n43°42'08.6""N 87°38'26.0""W","Ubicación:\n43°42'08.6""N 87°38'26.0""W",
,I can come back to this when I have more info,Puedo volver a esto cuando tenga más información.,LV4-Do-Later-Note
,"Dear Marie,\nOne more trip and I’ll be home for the winter! Don't worry, the treasure is safe in my captain's trunk. It’s small, but it’s worth more than gold. Can’t wait to see you and Danny!\nYours,\nJoseph","Querida Marie:\n Un viaje más y estaré en la casa por el invierno! No te preocupes, el tesoro está seguro en mi baúl de capitán. Es pequeño, pero vale más que el oro. Estoy ansioso de verlos a ti y a Danny!\nAtentamente,\nJoseph",LV4-Letter-Treasure
,<b>Amy:</b> A fisherman pulled up this broken piece of steel near Outer Island.,<b>Amy:</b> Un pescador sacó este trozo de acero roto cerca de Outer Island.,LV4-Location-Coordinates
,It could be from a freighter like your grandpa's!,¡Puede ser de un carguero como el de tu abuelo!,
,"Location:\n47°05'19.4""N 90°17'17.5""W","Ubicación:\n47°05'19.4""N 90°17'17.5""W",
,Ship Chart,Gráfica de naves,LV4-Ship-Chart
,Ship Name,Nombre de nave,
,Emerald,Esmeralda,
,Date Sank,Fecha de accidente,
,"Nov. 18th, 1966","18 de Noviembre, 1966",
,Ship Type,Tipo de nave,
,Freighter,Carguero,
,Cargo,Carga,
,Iron Ore,Mena de hierro,Hierro en bruto
,Mom Conversation (brittle steel),Conversación con mamá (acero débil),LV4-Transcript-Mom *** ask for context to translate 
,<b>Mom:</b> I tested the steel sample you sent me.,<b>Mamá:</b> Probé la muestra de acero que me enviaste.,
,It was weak and brittle. There's no way it could've held up against the waves.,Era débil y frágil. No había forma en que iba resistir las olas.,
,<b>You:</b> Wow. So that's why the Emerald broke apart!,<b>Tú:</b> ¡Vaya! ¡Entonces por eso es que se destrozó la Esmeralda! ,
,Survivor's Journal,Diario del sobreviviente,LV4-Transcript-Survivor
,"The Emerald was sailing smoothly. Then I heard a loud BANG. The ship had started to break in half! The captain sounded the alarm and got a life raft ready. Then a wave knocked a bunch of us overboard. We climbed up onto the life raft and held on, waiting for rescue.","La Esmeralda estaba navegando tranquilamente. Después, oí un gran ¡¡TRAZ!! ¡La nave empezó a partir a la mitad! El capitán sonó la alarma y puso un bote salvavidas listo. Después, una ola tumbó una multitud de nosotros al mar. Nos subimos al bote salvavidas y nos agarramos fuertemente, esperando auxilio.",
,Nash Sedan,Nash Sedan,DisplayObjs/Classic Cars
,Kissel Speedster,Kissel Speedster,
,Dan and Reya Griffin present,Dan y Reya Griffin presentan,DisplayObjs/Yardsale Flyer
,The World's Best Yard Sale,La mejor venta de garaje del mundo,
,"Dear Marie,\nBad news. I’m being sent on an extra trip, from Duluth-Superior to Ashland Harbor.\nDon’t worry, the waves might get a little rough around the Apostle Islands, but then it should be smooth sailing!\nCan’t wait to see you and Danny soon!\nLove, Joseph","Querida Marie,\nTengo malas noticias. Me estan enviando en otra excursión, desde Duluth-Superior hacía Ashland Harbor.\nNo te preocupes, las olas pueden estar un poco agitadas alrededor de las Islas Apóstoles, ¡pero luego debería ser una navegación suave!\nMe dan muchas ganas de verlos pronto!\nCon amor, Joseph",DisplayObjs/Postcard
,,,
@8044AFC1,{@dad} Hey Jules! Big news!,¡Oye Jules! ¡Grandes noticias!,Begin Dialogue
@7D44AB08,"You know how your grandpa's ship sank on Lake Superior, when I was just a kid?",¿Recuerdas como la nave de tu abuelito se hundió en Lake Superior cuando era solo un chico? ,
@7E44AC9B,{@you} Of course. You've been talking about that shipwreck since I was little.,"¡Si, claro! Has estado hablando de ese naufragio desde que era pequeña.",
@8344B47A,"{@dad} Well, I found one of your grandpa's old letters.","Pues, encontré una de las cartas antiguas de tu abuelito.",
@8144B154,"His ship, the SS Emerald, was carrying treasure!","Su nave, la SS Esmeralda, llevaba tesoro!",
@8244B2E7,"{@you} Since when do you care about treasure, Dad?","¿Desde cuándo te importa el tesoro, Pá? ",
@7844A329,"{@dad} I don't, but your sister does!",A mí no ¡pero a tu hermana si! ,
@DD20F863,She's gonna help me find the shipwreck!,¡Ella me va ayudar a buscar los restos de la nave!,
@DC20F6D0,She also found your grandma's locket. Looks nice on her.,Ella también encontró el relicario de tu abuelita. Se ve bonita en él.,
@DF20FB89,{@you} Wait. You let Reya take the locket??,{@you} Espera. ¿Dejaste que Reya tomara el relicario?,
@DE20F9F6,"{@dad} Well, you weren't here.","{@dad} Pues, no estuviste ahí. ",
@E120FEAF,So what do you say? Wanna help us?,"Entonces, ¿que dices? ¿Quieres ayudarnos?",
@E020FD1C,{@you} Well... I guess I can start a file for Grandpa's ship.,"{@you} Bueno, pues supongo que puedo empezar un archivo para la nave de abuelito.",
@E32101D5,{@dad} That's great!,{@dad} ¡Estupendo!,
@E2210042,The Emerald has been lost for so long.,La Esmeralda ha estada perdida por tanto tiempo.,
@E52104FB,"If I could just find it, it would fix everything!","Si solo pudiera encontrarla, ¡arreglaría todo!",
@E4210368,{@you} Wait... fix what? What do you mean?,{@you} Espera… ¿arreglar que? ¿Que quieres decir?,
@6B198928,"{@dad} Sorry, Jules, no time to talk. I've got work to do!","{@dad} Perdona, Jules. ¡No tengo tiempo para hablar! ¡Tengo trabajo que hacer!",
@5418E3F7,"{@lou} Hiya, Jules!","{@lou} ¡Buenas, Jules!",
@5318E264,{@you} Hey Lou. What’s all that noise?,"Oye Lou, ¿que es todo ese ruido?",
@5218E0D1,"{@lou} Oh, I’m just out flying over Lake Michigan on my ultralight plane.","O pues, solo estoy volando sobre el lago Michigan en mi avión ultraligero. ",
@5118DF3E,{@you} What??? You’re flying right now? Isn't that dangerous?,{@you} ¿¿Cómo?? ¿Estás volando ahorita? ¿No es peligroso?,
@5018DDAB,"{@lou} Not as dangerous as sitting at home, bored out of my mind.",{@lou} No tan peligroso como estar sentada en casa. Me volvía loca. ,
@4F18DC18,Check out what I found!,¡Mira lo que encontré!,
@4D18D8F2,What do you think?,¿Que piensas?,
@B031A3CE,{@you} Looks like a shipwreck!,{@you} ¡Parece un naufragio!,
@B131A561,{@lou} Awesome! I thought it might be.,{@lou} ¡Estupendo! En eso pensé.,
@AE31A0A8,"It's in Lake Michigan, near Rawley Point.",Está en el Lago Michigan. Cerca de Rawley Point. ,
@AF31A23B,I'll send you the latitude and longitude.,Te mandaré la latitud y longitud. ,
@B431AA1A,Location: N 44° 11.524' W 087° 30.591',Ubicación:  N 44° 11.524' W 087° 30.591,
@B231A6F4,"{@you} Thanks, Lou. Stay safe out there!","{@you} Gracias, Lou. ¡Vuela con cuidado!",
@A4009702,{@you}The ship should be around here somewhere. Time to drive my boat around and find it with my sonar.,"{@you} La nave debería de estar en algún lugar por aquí. Para encontrarla, voy a manejar mi bote con el sonar encendido. ",
@ADE2F165,{@you}There it is! I’ll drop a buoy to mark the location.,{@you} ¡Ahí está! Rojearé una boya para marcar la ubicación.,
@4962B5FE,{@you}Looks like some of the rigging that held up the mast is still here!,{@you} ¡Parece que un poco del cordaje que sostenía el mástil está aquí!,
@CA5F1B66,{@you} There's the ship!,{@you} ¡Ahí está la nave!,
@CB5F1CF9,I'll take a photo from up here.,Tomaré una foto desde aquí.,
@BBBDDF4A,{@you} Got it!,{@you} ¡La tengo!,
@BCBDE0DD,Time to dive down and take more pictures.,Ahora es hora de zambullirme y tomar más fotos.,
@49402F6A,{@you} Yes! The ship's name!,{@you}¡Si! ¡El nombre de la nave!,
@4A4030FD,Looks like some letters are missing.,Parece que faltan unas letras.,
@C83A0457,{@you} Whoa! What a cool old artifact.,{@you} ¡Oye! ¡Que artefacto tan viejo y padre!,
@C73A02C4,Looks like a knife. I wonder whose it was.,Parece un cuchillo. Me pregunto de quién era.,
@E70EF610,{@you} I already got a photo of this.,{@you} Ya tengo una foto de esto.,
@0A4C275F,{@you} Better zoom in so I can see this better.,{@you}  Debería hacer un acercamiento para mirar esto mejor.,
@ED3C241C,{@you} I should zoom out so I can fit more in the picture.,Debería alejar el zoom para capturar más en la foto.,
@F9FF290C,{@you} I don't need a photo of this.,{@you} No necesito una foto de esto.,
@A2011ED9,"{@you} Hey, Amy! How are things at the archives?","{@you} Oye, Amy! Como van las cosas con los archivos?",
@9F011A20,{@amy} Great! Just digging up some documents for a new exhibit.,{@amy} Bien! Solamente busco unos documentos para una nueva exhibición. ,
@A0011BB3,Lou clued me in on the dive. How was it?,Lou me contó sobre la zambullida. Cómo estuvo?,
@A5012392,{@you} Beautiful! The ship was in great condition. No mussels or plant life.,{@you} Hermosa! La nave estaba en exelentes condiciones. Zéro mejillones o vegetación. ,
@A6012525,{@amy} Hmmm. It must've been covered up in sand until now.,{@amy} Mmm. Debió haber sido cubierta en arena hasta ahora.,
@A301206C,{@you} The shipwreck was near Rawley Point.,{@you} El naufragio estaba cerca de Rawley Point. ,
@A40121FF,Can you send me a list of ships that sank in that area?,¿Me puedes mandar una lista de las naves que se hundieron en esa area?,
@AA012B71,{@amy} Sure. Here you go!,{@amy} Claro. ¡Aquí está!,
@EFC3A738,"{@you} Thanks, Amy!","{@you} Gracias, Amy!¡",
@476EF3F9,{@amy} So? What'd you find out?,"Entonces, ¿qué encontraste?",
@466EF266,{@you} Our ship is the Loretta!,{@you} Nuestra nave es la Loretta!,
@456EF0D3,{@amy} Wow! What an amazing find.,{@amy} ¡Caray! ¡Que increíble encuentro!,
@446EEF40,Looks like it sank on the same day that the town of Peshtigo burned down.,Parece que se hundió en el mismo día que el Pueblo de Peshtigo se incendió en llamas. ,
@4B6EFA45,{@you}  Yikes. A whole town burned down?,{@you} ¡Hijoles! ¿Todo el pueblo se quemó?,
@4A6EF8B2,"{@amy}  Well, not the WHOLE town, but a lot of it.","{@amy} Pues, no TODO, pero mucho de ello. ",
@496EF71F,It was the worst fire in American history.,Fue el peor incendio en toda la historia. ,
@4F6F0091,All the smoke blew over the lake and made it hard for the captain to see.,Todo el humo voló sobre el lago y se le hizo difícil a ver para el capitán.  ,
@4E6EFEFE,Here's a portrait of him:,Este es un retrato de él:,
@34A77A3C,"{@you} Hey, that's the knife I saw!",{@you} Oye! Ese es el cuchillo que vi! ,
@35A77BCF,{@amy} It must've gone down with the ship.,{@amy} Debió haberse sumergido con la nave.,Can replace sumergido with ido if you need a shorter line.
@30A773F0,"{@you} Wow, look at that sailor's knife!",{@you} ¡Guau! ¡Mira el cuchillo del marinero!  ,
@31A77583,{@amy} It was the captain's. Sounds like it went down with the ship.,{@amy} Era del capitán. Parece que se hundió con la nave.,
@3EA789FA,{@you} Hmm. I should dive again. Maybe it's still down there.,{@you} Mmm. Debería darme otra zambullida. Quizás todavía esté allí.,
@30A53559,{@amy} I've got an article about how it sank. I'll send it over!,{@amy} Tengo un artículo sobre cómo se hundió. ¡Te lo mandaré!,
@89B961FA,"{@lou} Hey, Jules!",{@lou} ¡Ey! ¡Jules!,
@88B96067,I'm out flying again. Weather's great today!,Vuelo de nuevo. ¡El tiempo está buenísimo hoy!,
@87B95ED4,Any juicy details on that shipwreck?,¿Algún detalle jugoso sobre ese naufragio?,
@86B95D41,{@you} Yes! The ship is the Loretta!,{@you} ¡Sí! ¡La nave es la Loretta!,
@85B95BAE,{@lou} Awesome name. How'd it sink?,{@lou} Es un nombre génial. ¿Cómo se hundió?,
@83B95888,"{@you} Wildfires were burning all across Wisconsin, including an awful fire in Peshtigo, Wisconsin.","{@you} Los incendios forestales estaban ardiendo en todo Wisconsin, incluso un terrible incendio en Peshtigo, Wisconsin.",
@82B956F5,The wind blew a ton of smoke out over the lake.,El viento sopló una tonelada de humo sobre el lago.,
@98D4F0FE,{@lou}  How could the captain see where he was going?,{@lou} ¿Cómo pudo ver por dónde iba el capitán?,
@99D4F291,{@you}  He couldn't. The Loretta sailed too close to shore and got stuck on a sandbar!,{@you} No pudo. ¡La Loretta navegó muy cerca de la costa y se quedó atascada en un banco de arena!,
@96D4EDD8,"The sailors had to climb up into the rigging. Luckily, they were rescued by a fishing boat.","Los marineros tuvieron que subir a las jarcias. Por suerte, fueron rescatados por un barco de pesca.",
@97D4EF6B,{@lou} Wow! What a wild story.,{@lou} ¡Vaya! Qué historia más salvaje.,
@9CD4F74A,Can you imagine what it was like that night?,¿Puedes imaginarte cómo fue esa noche?,
@9DD4F8DD,{@you}  Yeah...,{@you} Sí...,
@0AAFA148,"{@dad} Hey, kiddo! I need a favor.","{@dad} ¡Oye, chica! Necesito un favor.",Level 2
@0DAFA601,Can you put up these flyers at your work?,¿Puedes poner estos folletos en tu trabajo?,
@0FAFA927,{@you} Wait a minute. You're having a yard sale?,{@you} Espera un momento. ¿Vas a hacer una venta de garaje?,
@0EAFA794,{@dad} Yep! Didn't I tell ya?,{@dad} ¡Síp! ¿Que no te lo dije?,
@10AFAABA,I need money to buy a sonar for my boat.,Necesito dinero para comprar un sonar para mi barco.,
@03AF9643,"{@you} Dad, you don't even know how sonar works!","{@you} ¡Papá, ni siquiera sabes cómo funciona un sonar!",
@02AF94B0,And what about our family history??,¿Y qué pasa con nuestra historia familiar?,
@4A7B2FE8,"You never talk about Grandpa, and now you're getting rid of all his stuff!","¡Nunca hablas de mi abuelito, y ahora te deshaces de todas sus cosas!",
@4B7B317B,"{@dad}  Well, what is there to talk about?","{@dad} Bueno, ¿de qué hay que hablar?",
@4C7B330E,The lost shipwreck of the Emerald has been haunting me my whole life.,El naufragio perdido de la Esmeralda me ha perseguido toda la vida.,
@4D7B34A1,I need to find it.,Necesito encontrarlo.,
@4E7B3634,{@you}  But Dad—,{@you} Pero Papá...,
@4F7B37C7,{@dad}  I better finish setting things up. Wish me luck!,{@dad} Será mejor que termine de prepararme. ¡Deséame suerte!,
@B6D2C546,"{@reya} Hey, sis!","{@reya} ¡Oye, hermana!",
@B5D2C3B3,Check out my new necklace. It was Grandma's!,Mira mi nuevo collar. ¡Era de abuelita!,
@B4D2C220,It has her old wedding photo inside.,Adentro tiene su vieja fotografía de boda.,
@BBD2CD25,{@you} Wow. It's beautiful!,{@you} Vaya. ¡Es hermosa!,
@BAD2CB92,I can't believe Dad just gave it to you.,No puedo creer que Papá te lo haya dado.,
@B9D2C9FF,"{@reya} I know! Awesome, right?","{@reya} ¡Lo sé! Es chévere, ¿sierto?",
@B8D2C86C,That reminds me. I need your dive gear.,Eso me recuerda. Necesito tu equipo de buceo.,
@BFD2D371,{@you} What?? No! That's against the rules!,{@you} ¿Cómo? ¡No! ¡Eso va contra las reglas!,
@BED2D1DE,"{@reya} Aw, come on. We're sisters. The rules don't count.","{@reya} O, vamos. Somos hermanas. Las reglas no cuentan.",
@43CCD8C2,"I got hired to check out a shipwreck, and it's way down at 300 feet.","Me contrataron para revisar un naufragio, y está muy profundo, a 300 pies.",
@44CCDA55,I need your fancy deep-diving thing.,Necesito tu cosa fancy de buceo.,
@41CCD59C,"{@you} It's called a rebreather, and you're not trained to use it, Reya.","{@you} Se llama un respirador, y no estás entrenada para usarlo, Reya.",
@42CCD72F,You need an expert to help you.,Necesitas que un experto te ayude.,
@3FCCD276,"{@reya} Awww, Jules! Thank you. I would love your help.","{@reya} ¡Ah, Jules! Gracias. Me encantaría tu ayuda.",
@40CCD409,"{@you} Wait, that's not what I meant—","{@you} Espera, eso no es lo que quise decir...",
@3DCCCF50,{@reya} It's near Port Washington.,{@reya} Está cerca de Port Washington.,
@3ECCD0E3,"Location: 43°20'08.2""N 87°34'11.3""W","Ubicación: 43°20'08.2 ""N 87°34'11.3 ""W",
@4BCCE55A,Race ya there!,¡Te echo carreras allí!,
@A7A05B33,{@reya} Hey sis! Ready to go treasure hunting?,"{@reya} ¡Oye, hermana! ¿Lista para cazar tesoro?",
@A6A059A0,"{@you} I'm not a treasure hunter, Reya.","{@you} No soy cazadora de tesoros, Reya.",
@A9A05E59,"My job is about history! Solving mysteries, uncovering lost stories...","¡Mi trabajo tiene que ver con la historia! Resolver misterios, descubrir historias perdidas...",
@A8A05CC6,"{@reya} Yaaaawn. Whatever floats your boat, I guess.","{@reya}  ¡Aburrido! Lo que haga flotar tu barco, supongo.",
@ABA0617F,"{@reya} Anyway, the ship’s down there.","{@reya} De todas formas, el barco está debajo.",
@AAA05FEC,"{@reya} Break a leg! Or a flipper, or whatever.","{@reya}  ¡Rompe una pierna! O una aleta, o lo que sea. Buena suerte. ",Had to say goodluck just to clarify for those who dont know what it means
@01B58D6B,{@you} Got it!,{@you} ¡La tengo!,Need to double check context
@00B58BD8,"Can you hear me through the coms, Reya? I'm diving down deeper.","¿Puedes oírme a través de los comunicadores, Reya? Me voy a sumergir más.",
@03B59091,"{@reya} Copy that, sis.","{@reya} Entendido, hermana.",
@9E3A26AE,{@you} That's the ship! Looks like it's covered in mussels.,{@you}  ¡Esa es la nave! Parece que está cubierta de mejillones.,
@9F3A2841,I should grab a top-down photo.,Debería tomar una foto de arriba a abajo.,
@7F3AC4A5,{@you} Looks like something crashed into the ship here.,{@you} Parece que algo se estrelló contra la nave aquí.,
@B04D8AEE,{@you} Wow! There's an old car in the cargo area!,{@you} ¡Vaya! ¡Hay un coche viejo en la zona de carga!,
@B14D8C81,{@reya} Huh? What's cargo?,{@reya} ¿Eh? ¿Qué es la carga?,
@AE4D87C8,"{@you}  Oh, ""cargo"" just means the items that the ship was carrying.","{@you}  O, ""carga"" sólo significa los artículos que la nave llevaba.",
